
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		JebsGuns_M1A_Sneaks,			 W,		1500,		400
		JebsGuns_MBR_Black,				 W,		1500,		500
		JebsGuns_L85A2_Black,			 W,		1500,		100
		JebsGuns_KrissVector_Black,		 W,		900,		100
		JebsGuns_VSSK,	    			 W,		1500,		400
		Rev_M96,	    		     	 W,		1500,		400
		JebsGuns_MDRX_Tan,	    		 W,		1500,		400
		Rev_CDX50,	    		     	 W,		1500,		400
		Rev_M2010_Tan,	    		     W,		1500,		400
		
	<Category> REV_attachments
		Rev_Tac21_Bttstck,					*,		150,	60
		Rev_M200_Suppressor,   			    *,		150,	60
		Rev_R700_Suppressor,		        *,		250,	100
		Rev_AK_Bttstck,						*,		300,	120
		JebsGuns_KrissVector_Suppressor,    *,		500,	200
	
	<Category> Rev_Guns/Ammo
		Ammo_300WinMagnum,		              1,		25,		-1
		Rev_Ammo_300BO,		                  1,		25,		-1
		Rev_Ammo_408,		                  1,		1,		-1
		Rev_Ammo_338,		 				  1,		1,		-1
		Rev_Ammo_68SPC,		     			  1,		3,		1
		Rev_Ammo_50BW,		  				  1,		4,		2
		JebsGuns_Ammo_45_70,		 		  1,		4,		2
		Rev_Mag_WA2000_5rnd,			      M,		30,		15
		Rev_Mag_ARX160_30rnd,				  M,		40,		20
		Rev_Mag_Tac21_5rnd,					  M,		40,		20
		Rev_Mag_HoneyBadger_30rnd,			  M,		40,		20
		Rev_Mag_HoneyBadger_50rnd,			  M,		40,		20
		Rev_Mag_HoneyBadger_100rnd,			  M,		40,		20
		Rev_Mag_M200_7rnd,				  	  M,		60,		30
		Rev_Mag_R700_7rnd,				      M,		100,	50
		Rev_Mag_AK15_30rnd,					  M,		150,	75
		Rev_Mag_AK12_30rnd,				      M,		40,		20
		Rev_Mag_AK19_30rnd,				      M,		40,		20
		Rev_Mag_RPK16_75rnd_762,			  M,		40,		20
		Rev_Mag_RPK16_96rnd,				  M,		60,		30
		Rev_Mag_RPK16_96rnd_556,			  M,		100,	50
		Rev_Mag_ACR_30rnd,					  M,		150,	75
		Rev_Mag_M110_10rnd,				      M,		40,		20
		Rev_Mag_M110_20rnd,				      M,		60,		30
		Rev_Mag_M134_250rnd,				  M,		100,	50
		Rev_Mag_Beowulf_10rnd,				  M,		150,	75
		Rev_Mag_SRSA2_10rnd,				  M,		40,		20
		Rev_Mag_SR25_10rnd,				  	  M,		60,		30
		Rev_Mag_SR25_20rnd,				  	  M,		100,	50
		Rev_Mag_ACR17_30rnd,				  M,		150,	75
		Rev_Mag_MG3_75rnd,				      M,		100,	50
		Rev_Mag_HT76_30Rnd,					  M,		150,	75
		Rev_Mag_HK417_20rnd,				  M,		100,	50
		JebsGuns_Mag_M1A_20rnd_45_70,		  M,		150,	75
		JebsGuns_Mag_L85A2_30rnd,			  M,		100,	50
		JebsGuns_Mag_KrissVector_30rnd,		  M,		150,	75
		JebsGuns_Mag_VSSK_5rnd,				  M,		100,	50
		Rev_Mag_M96_5rnd,			     	  M,		100,	50
		JebsGuns_Mag_MDRX_30rnd,			  M,		100,	50
		JebsGuns_Mag_MDRX_50rnd,			  M,		100,	50
		Rev_Mag_CDX50_5rnd,			     	  M,		100,	50
		Rev_Mag_M2010_10rnd,			      M,		100,	50

<Category> Tactical Flava Optics
TF_ElcanSpecterDROptic_FDE, *, 2500, 1000
TF_ElcanSpecterDROptic_Black, *, 2500, 1000
TF_ElcanSpecterDR_6xOptic_FDE, *, 2500, 1000
TF_ElcanSpecterDR_6xOptic_Black, *, 2500, 1000
TF_EOTechXPSOpticDown_Black, *, 2500, 1000
TF_EOTechXPSOpticUp_Black, *, 2500, 1000
TF_DeltaPointOptic_Black, *, 2500, 1000
TF_HAMROptic_Black, *, 2500, 1000
TF_OTs_14_GrozaOptic, *, 2500, 1000
TF_PK122_ValdayOptic, *, 2500, 1000
TF_OKP7Optic, *, 2500, 1000
TF_M4_ColtA2Optic, *, 2500, 1000

<Category> Tactical Flava Buttstocks
TF_SCAR_Mk20Bttstck_FDE, *, 2500, 1000
TF_SCAR_Mk20Bttstck_Black, *, 2500, 1000
TF_SCAR_Mk20Bttstck_Shd, *, 2500, 1000
TF_SCAR_StndBttstck_FDE, *, 2500, 1000
TF_SCAR_StndBttstck_Black, *, 2500, 1000
TF_SCAR_VadapterBttstck, *, 2500, 1000
TF_AK_AdapterBttstck, *, 2500, 1000
TF_AK_MVRIBttstck, *, 2500, 1000
TF_AK_Zenit_PT1Bttstck, *, 2500, 1000
TF_AK_MagpulZhukovBttstck, *, 2500, 1000
TF_AN94_AdapterBttstck, *, 2500, 1000
TF_AN94_PlasticBttstck, *, 2500, 1000
TF_M4_ADARBttstck, *, 2500, 1000
TF_M4_CMMG_RIPBttstck, *, 2500, 1000
TF_M4_B5PrecisionBttstck, *, 2500, 1000
TF_M4_FABDGLCoreBttstck, *, 2500, 1000
TF_M4_MagpulPRSGen3Bttstck_Black, *, 2500, 1000
TF_M4_MagpulPRSGen3Bttstck_Grey, *, 2500, 1000
TF_M4CraneBttstck, *, 2500, 1000
TF_M16_Bttstck, *, 2500, 1000
TF_PKM_CNCC39Bttstck, *, 2500, 1000
TF_PKM_ZenitPT2Bttstck, *, 2500, 1000
TF_PKM_WoodBttstck, *, 2500, 1000
TF_PKP_PlasticBttstck, *, 2500, 1000

<Category> Tactical Flava Grips
TF_M4_MIADPistolGrip_FDE, *, 2500, 1000
TF_M4_MOEPistolGrip_FDE, *, 2500, 1000
TF_M4_MOEPistolGrip_Black, *, 2500, 1000
TF_M4_OMRGPistolGrip_FDE, *, 2500, 1000
TF_M4_OMRGPistolGrip_Black, *, 2500, 1000
TF_M4_TDSPistolGrip, *, 2500, 1000
TF_AK_ZenitRK3PistolGrip, *, 2500, 1000
TF_AK_KGBMG47PistolGrip_FDE, *, 2500, 1000
TF_AK_MOEPistolGrip_Black, *, 2500, 1000
TF_AK_TAPCOPistolGrip_Black, *, 2500, 1000
TF_AK_TAPCOPistolGrip_FDE, *, 2500, 1000
TF_SAW_RIS_Grip_FDE, *, 2500, 1000
TF_SAW_RIS_Grip_Black, *, 2500, 1000
TF_AFG_RIS_Grip_FDE, *, 2500, 1000
TF_AFG_RIS_Grip_Black, *, 2500, 1000
TF_AFG_MLOCK_Grip_FDE, *, 2500, 1000
TF_AFG_MLOCK_Grip_Black, *, 2500, 1000
TF_BCM_MLOCK_Grip_FDE, *, 2500, 1000
TF_BCM_MLOCK_Grip_Black, *, 2500, 1000
TF_RVG_RIS_Grip_FDE, *, 2500, 1000
TF_RVG_RIS_Grip_Black, *, 2500, 1000
TF_ZenitRK1B25U_RIS_Grip, *, 2500, 1000

<Category> Tactical Flava Attachments
TF_SCAR_ADDHndgrd, *, 2500, 1000
TF_SCAR_MREXHndgrd_FDE, *, 2500, 1000
TF_SCAR_MREXHndgrd_Black, *, 2500, 1000
TF_SCAR_StndHndgrd, *, 2500, 1000
TF_AKS74U_WoodHndgrd, *, 2500, 1000
TF_AKS74U_CAAHndgrd_RIS, *, 2500, 1000
TF_AKS74U_ZenitB11PlasticHndgrd_RIS, *, 2500, 1000
TF_AKS74U_ZenitB11WoodHndgrd_RIS, *, 2500, 1000
TF_AK_ZenitB30B31Hndgrd_RIS, *, 2500, 1000
TF_AK_MagpulMOEHndgrd_MLOCK, *, 2500, 1000
TF_AK_MagpulZhukovHndgrdU_MLOCK, *, 2500, 1000
TF_AK_ZenitB10MB19Hndgrd_RIS, *, 2500, 1000
TF_AR10_CMMG15Hndgrd_MLOCK, *, 2500, 1000
TF_AR10_CMMG9Hndgrd_MLOCK, *, 2500, 1000
TF_AR10_KACHndgrd_RIS, *, 2500, 1000
TF_AR10_LancerHndgrd_MLOCK, *, 2500, 1000
TF_AR10_NoveskeHndgrd_Short_RIS, *, 2500, 1000
TF_AR10_NoveskeHndgrd_Long_RIS, *, 2500, 1000
TF_AR10_URXHndgrd_MLOCK, *, 2500, 1000
TF_M4_ADARWoodHndgrd, *, 2500, 1000
TF_M4_DD12Hndgrd_RIS_FDE, *, 2500, 1000
TF_M4_DD9Hndgrd_RIS_FDE, *, 2500, 1000
TF_M4_DDFSPHndgrd_RIS_FDE, *, 2500, 1000
TF_M4_SMR13Hndgrd_MLOCK_FDE, *, 2500, 1000
TF_M4_SMR9Hndgrd_MLOCK_FDE, *, 2500, 1000
TF_M4_KACHndgrd_RIS, *, 2500, 1000
TF_M16_KACHndgrd_RIS, *, 2500, 1000
TF_PKM_ZenitB50Hndgrd_RIS, *, 2500, 1000
TF_PKP_CNCC46Hndgrd_RIS, *, 2500, 1000

<Category> Tactical Flava Muzzles
TF_SCAR_Suppressor_Black, *, 2500, 1000
TF_MakarovPB_Suppressor, *, 2500, 1000
TF_OTs_14_Groza_Suppressor, *, 2500, 1000
TF_OTs_14_Groza_Barrel_Grip, *, 2500, 1000
TF_MAR10_Suppressor, *, 2500, 1000
TF_M4_SOCOMSuppressor, *, 2500, 1000
TF_AK_PBS1Suppressor, *, 2500, 1000
TF_AEK999_Suppressor, *, 2500, 1000
TF_PKM_6ch43Compensator, *, 2500, 1000
TF_PKM_6ch63Compensator, *, 2500, 1000
TF_PKM_6ch76Compensator, *, 2500, 1000
TF_AK_6p20Compensator, *, 2500, 1000
TF_AK_ZenitDTK1Compensator, *, 2500, 1000
TF_PKM_SAICompensator, *, 2500, 1000
TF_AK_Rotor43Suppressor, *, 2500, 1000

<Category> Tactical Flava Grenades
TF_EMPGrenade, *, 12000, 6000
TF_PhosphorusGrenade, *, 12000, 6000
TF_TeargasGrenade, *, 12000, 6000
TF_ChemicalGrenade, *, 12000, 6000

<Category> Tactical Flava Helmets
TF_6B47Helmet, *, 12000, 6000
TF_6B47HelmetCover_EMR, *, 12000, 6000
TF_6B47HelmetCover_Syrian, *, 12000, 6000
TF_LSHZHelmet_OD, *, 12000, 6000
TF_MICH2000Helmet, *, 12000, 6000
TF_MICH2000Helmet_Khaku, *, 12000, 6000
TF_MICH2000Helmet_Black, *, 12000, 6000
TF_MICH2000HelmetCover_Woodland, *, 12000, 6000
TF_WeldingMask_Tagilla, *, 12000, 6000
TF_WeldingMask, *, 12000, 6000
TF_Maska1Helmet, *, 12000, 6000
TF_Maska1Visor, *, 12000, 6000
TF_Maska1SchVisor, *, 12000, 6000

<Category> Tactical Flava Vests
TF_PlateCarrierVest_EMR, *, 12000, 6000
TF_PlateCarrierVest_Coyote, *, 12000, 6000
TF_6sh112_EMR, *, 12000, 6000
TF_6sh112_Syrian, *, 12000, 6000
TF_6B23_112Vest_GFlora_Syrian, *, 12000, 6000
TF_6B23_112Vest_EMR_Syrian, *, 12000, 6000
TF_6B23_112Vest_GFlora, *, 12000, 6000
TF_6B23_112Vest_EMR, *, 12000, 6000
TF_6B23Vest_GFlora, *, 12000, 6000
TF_6B23Vest_EMR, *, 12000, 6000
TF_6B43Vest_EMR, *, 12000, 6000
TF_6B43Vest_Syrian, *, 12000, 6000
TF_6B43Vest_6sh112_EMR, *, 12000, 6000
TF_6B43Vest_6sh112_Syrian, *, 12000, 6000
TF_6B43Vest_6sh112_EMR_Syrian, *, 12000, 6000
TF_6B43Vest_6sh112_Syrian_EMR, *, 12000, 6000
TF_IMTVVest, *, 12000, 6000
TF_IMTVVest_Khaki, *, 12000, 6000
TF_AVSVest_Coyote, *, 12000, 6000
TF_AVSVest_Tagilla, *, 12000, 6000
TF_JPCVest_MC, *, 12000, 6000
TF_JPCVest_Coyote, *, 12000, 6000
TF_LVMBAVVest_KH, *, 12000, 6000

<Category> Tactical Flava Pouches
TF_PlateCarrierPouches_EMR, *, 12000, 6000
TF_PlateCarrierPouches_Coyote, *, 12000, 6000
TF_PlateCarrierHolster_EMR, *, 12000, 6000
TF_PlateCarrierHolster_Coyote, *, 12000, 6000
TF_6B43MagPouch, *, 12000, 6000
TF_6B43GrenPouch, *, 12000, 6000
TF_6B43MagPouch_Syrian, *, 12000, 6000
TF_6B43GrenPouch_Syrian, *, 12000, 6000
TF_DumpMagPouch, *, 12000, 6000
TF_DumpMagPouch_Khaki, *, 12000, 6000
TF_3GrenPouch, *, 12000, 6000
TF_3GrenPouch_Khaki, *, 12000, 6000
TF_2GrenPouch, *, 12000, 6000
TF_2GrenPouch_Khaki, *, 12000, 6000
TF_LMGPouch, *, 12000, 6000
TF_LMGPouch_Khaki, *, 12000, 6000
TF_LMG_M4Pouch, *, 12000, 6000
TF_LMG_M4Pouch_Khaki, *, 12000, 6000
TF_Mag2Pouch, *, 12000, 6000
TF_Mag2Pouch_Khaki, *, 12000, 6000
TF_Mag3Pouch, *, 12000, 6000
TF_Mag3Pouch_Khaki, *, 12000, 6000
TF_MedPouch1, *, 12000, 6000
TF_MedPouch1_Khaki, *, 12000, 6000
TF_MedPouch2, *, 12000, 6000
TF_MedPouch2_Coyote, *, 12000, 6000
TF_MedPouch3, *, 12000, 6000
TF_MedPouch3_Khaki, *, 12000, 6000
TF_AVSMag3Pouch_Coyote, *, 12000, 6000
TF_AVSMag3Pouch_Khaki, *, 12000, 6000
TF_FastMag3Pouch_Khaki, *, 12000, 6000
TF_FastMag3Pouch_Coyote, *, 12000, 6000
TF_AFAKMedPouch_Khaki, *, 12000, 6000
TF_AFAKMedPouch_Coyote, *, 12000, 6000
TF_AVSGren2Pouch_Coyote, *, 12000, 6000
TF_AVSGren2Pouch_Khaki, *, 12000, 6000
TF_LargeUtilityPouch_Khaki, *, 12000, 6000
TF_LargeUtilityPouch_Coyote, *, 12000, 6000
TF_JPCMag3Pouch_Coyote, *, 12000, 6000

<Category> Tactical Flava Bags
TF_CamelBakBag_Black, *, 12000, 6000
TF_CamelBakBag_Brown, *, 12000, 6000
TF_CamelBakBag_EMR, *, 12000, 6000
TF_CamelBakBag_OD, *, 12000, 6000
TF_CamelBakBag_Tan, *, 12000, 6000
TF_AVSBag_Coyote, *, 12000, 6000
TF_AVSBag_Khaki, *, 12000, 6000
TF_MAPBag_Khaki, *, 12000, 6000
TF_MAPBag_Coyote, *, 12000, 6000

<Category> Tactical Flava Masks
TF_PMK4GasMask, *, 12000, 6000
TF_PMK4GasMask_OD, *, 12000, 6000
TF_6sh122Pants_Spring, *, 12000, 6000
TF_6sh122Pants_Autumn, *, 12000, 6000
TF_6sh122Pants_Syrian, *, 12000, 6000
TF_6sh122Pants_Syrian_EMR, *, 12000, 6000
TF_6sh122Pants_Winter, *, 12000, 6000
TF_CargoPantsShort_Black, *, 12000, 6000
TF_CargoPantsShort_MARPAT, *, 12000, 6000
TF_G3CombatPants_RG, *, 12000, 6000
TF_G3CombatPants_MC, *, 12000, 6000
TF_G3CombatPants_WD, *, 12000, 6000
TF_6sh122Jacket_Spring, *, 12000, 6000
TF_6sh122Jacket_Autumn, *, 12000, 6000
TF_6sh122Jacket_Syrian, *, 12000, 6000
TF_6sh122Jacket_Syrian_EMR, *, 12000, 6000
TF_6sh122Jacket_Winter, *, 12000, 6000
TF_G3CombatShirt_RG, *, 12000, 6000
TF_G3CombatShirt_MC, *, 12000, 6000
TF_G3CombatShirt_WD, *, 12000, 6000
TF_FannyPack_Coyote, *, 12000, 6000

<Category> Tactical Flava Guns
TF_AN94, *, 45000, 10000
TF_AN94M, *, 45000, 10000
TF_Anzio20, *, 45000, 10000
TF_FiveSeven, *, 45000, 10000
TF_M14_DMR, *, 45000, 10000
TF_M14_EBR, *, 45000, 10000
TF_M14_STD, *, 45000, 10000
TF_M1A_Black, *, 45000, 10000
TF_M1A_OD, *, 45000, 10000
TF_M1A_Tan, *, 45000, 10000
TF_MAR10, *, 45000, 10000
TF_SCAR_20_FDE, *, 45000, 10000
TF_SCAR_20_Black, *, 45000, 10000
TF_SCAR_20_Shd, *, 45000, 10000
TF_SCAR_L_FDE, *, 45000, 10000
TF_SCAR_L_Black, *, 45000, 10000
TF_SCAR_L_CQC_FDE, *, 45000, 10000
TF_SCAR_L_CQC_Black, *, 45000, 10000
TF_SCAR_H_FDE, *, 45000, 10000
TF_SCAR_H_Black, *, 45000, 10000
TF_SCAR_H_CQC_FDE, *, 45000, 10000
TF_SCAR_H_CQC_Black, *, 45000, 10000
TF_OTs_12_Tiss, *, 45000, 10000
TF_OTs_14_Groza, *, 45000, 10000
TF_MakarovPB, *, 45000, 10000
TF_M79, *, 45000, 10000
TF_M79_AOR1, *, 45000, 10000
TF_AK101, *, 45000, 10000
TF_AK102, *, 45000, 10000
TF_AK103, *, 45000, 10000
TF_AK104, *, 45000, 10000
TF_AK105, *, 45000, 10000
TF_AK105_Bullpup, *, 45000, 10000
TF_AK74M, *, 45000, 10000
TF_AKM, *, 45000, 10000
TF_AKMN, *, 45000, 10000
TF_VPO136, *, 45000, 10000
TF_AKS74U, *, 45000, 10000
TF_M4A1, *, 45000, 10000
TF_ADAR2_15, *, 45000, 10000
TF_M4A1_CQBR, *, 45000, 10000
TF_MK47_CQBR, *, 45000, 10000
TF_MK47, *, 45000, 10000
TF_MP443, *, 45000, 10000
TF_VPO190, *, 45000, 10000
TF_AEK999, *, 45000, 10000
TF_M16A4, *, 45000, 10000
TF_M240, *, 45000, 10000
TF_M249, *, 45000, 10000
TF_PKM, *, 45000, 10000
TF_PKP, *, 45000, 10000
TF_SVCh308, *, 45000, 10000
TF_SVCh, *, 45000, 10000
TF_SR25, *, 45000, 10000

<Category> Tactical Flava Ammo
TF_Ammo_20mm, *, 2500, 1000
TF_Ammo_20mm_HE, *, 2500, 1000
TF_Ammo_57, *, 2500, 1000
TF_Ammo_338LM, *, 2500, 1000

<Category> Tactical Flava Mags
TF_Mag_OTs_14_Groza_20Rnd, *, 5000, 1500
TF_Mag_SCAR_H_20Rnd_Black, *, 5000, 1500
TF_Mag_SCAR_H_20Rnd_FDE, *, 5000, 1500
TF_Mag_SCAR_H_20Rnd_Shd, *, 5000, 1500
TF_Mag_SCAR_H_25Rnd_Black, *, 5000, 1500
TF_Mag_SCAR_H_25Rnd_FDE, *, 5000, 1500
TF_Mag_SCAR_H_30Rnd_Black, *, 5000, 1500
TF_Mag_SCAR_H_30Rnd_FDE, *, 5000, 1500
TF_Mag_SCAR_H_PMAG25Rnd_Black, *, 5000, 1500
TF_Mag_SCAR_H_Drum50Rnd, *, 5000, 1500
TF_Mag_FAL_Drum50Rnd_Black, *, 5000, 1500
TF_Mag_MAR10_10Rnd, *, 5000, 1500
TF_Mag_Anzio20_3Rnd, *, 5000, 1500
TF_Mag_M14_20Rnd, *, 5000, 1500
TF_Mag_M14_10Rnd, *, 5000, 1500
TF_Mag_FiveSeven_20Rnd, *, 5000, 1500
TF_Mag_AK74_60Rnd, *, 5000, 1500
TF_Mag_AK74_45Rnd, *, 5000, 1500
TF_Mag_AKM_Plastic30Rnd, *, 5000, 1500
TF_Mag_AKM_30Rnd, *, 5000, 1500
TF_Mag_AKM_10Rnd, *, 5000, 1500
TF_Mag_AKM_PMAG30Rnd, *, 5000, 1500
TF_Mag_AKM_PMAG30Rnd_Banana, *, 5000, 1500
TF_Mag_M4_STANAG_30Rnd, *, 5000, 1500
TF_Mag_M4_PMAG10Rnd, *, 5000, 1500
TF_Mag_M4_PMAG20Rnd, *, 5000, 1500
TF_Mag_M4_PMAG30Rnd, *, 5000, 1500
TF_Mag_M4_PMAG30Rnd_FDE, *, 5000, 1500
TF_Mag_M4_PMAG40Rnd, *, 5000, 1500
TF_Mag_M4_PMAG40Rnd_FDE, *, 5000, 1500
TF_Mag_MP443_18Rnd, *, 5000, 1500
TF_Mag_VPO190_4Rnd, *, 5000, 1500
TF_Mag_AK101_Plastic30Rnd, *, 5000, 1500
TF_Mag_AK74_Bakelit30Rnd, *, 5000, 1500
TF_Mag_AK74_Plum30Rnd, *, 5000, 1500
TF_Mag_AK74_Plastic30Rnd, *, 5000, 1500
TF_Mag_AKM_Bakelit40Rnd, *, 5000, 1500
TF_Mag_AKM_Steel40Rnd, *, 5000, 1500
TF_Mag_M240_50Rnd, *, 5000, 1500
TF_Mag_M249_200Rnd, *, 5000, 1500
TF_Mag_PKM_100Rnd, *, 5000, 1500
TF_Mag_SVCh308_10Rnd, *, 5000, 1500
TF_Mag_SR25_20Rnd, *, 5000, 1500

<Category> Tactical Flava
TF_Atlas_Bipod, *, 5000, 1500
TF_Harris_Bipod, *, 5000, 1500
TF_M14_Adapter, *, 5000, 1500
TF_RifleSling_Black, *, 5000, 1500
TF_RifleSling_Brown, *, 5000, 1500
TF_RifleSling_OD, *, 5000, 1500
TF_NVGoggles_AVS9, *, 10000, 1500
TF_NVGoggles_PVS14, *, 10000, 1500
TF_NVGoggles_PVS15, *, 10000, 1500
TF_NVGoggles_PNV10T, *, 10000, 1500
TF_Foil_hat, *, 5000, 1500
TF_6B43PelvisArmor, *, 5000, 1500
TF_6B43PelvisArmor_Syrian, *, 5000, 1500
TF_AK_6kh5Bayonet, *, 5000, 1500
TF_6kh5KnifeSheath, *, 5000, 1500
TF_AK_Tactica_Tula10000Receiver, *, 5000, 1500
TF_AK_B33Receiver, *, 5000, 1500

<Category> SNAFU Weapons
		SNAFUAPS,                          W,		500,			200
		SN_Springfield,                    W,		1000,			500
		SN_Glock19,                        W,		1000,			500
		SN_Mp443,                          W,		1000,			500
		SN_M9,                             W,		1000,			500
		GCGN_Vityaz,                       W,		5000,			2000
		Tec9_Gun,                          W,		1500,			750
		SNAFUVECTOR_9mm_GUN,               W,		4000,			1500
		SNAFU_MP9_GUN,                     W,		3000,			1000
		SNAFU_Fort12_GUN,                  W,		1000,			500
		SNAFU_MPX_GUN,                     W,		3000,			1000
		SNAFU_Agram_GUN,                   W,		3000,			1000
		SNAFUKH9,                          W,		3000,			1000
		SNAFUSten,                         W,		3000,			1000
		SNAFU_PDW_9mm,	                   W,		3000,			1000
		SNAFUUzi,                          W,		4000,			1500
		SN_USP,                            W,		1000,			500
		SNAFUVECTOR_45acp_GUN,             W,		4000,			1500
		SNAFU_PDW_45ACP,	               W,		4000,			1500
		SNAFUThompsonMk2,                  W,		4000,			1500
		SNAFUSWM629,                       W,		3000,			1250
		SNAFUChiappaRhino,                 W,		3000,			1250
		SNAFUMagnum500,                    W,		5000,			1750
		GCGN_MP7,                          W,		4500,			2000
		SNAFUP90,                          W,		6000,			2000
		SNAFU_Trenchgun,                   W,		2000,			750
		SNAFU_TP82S,                       W,		2000,			750
		SN_Auto_Shotgun,                   W,		12000,			4000
		SN_M870,                           W,		3000,			1250
		VR80_Gun,                          W,		6000,			2500
		Spas12_Gun,                        W,		3000,			1000
		AA12_Gun,                          W,		12000,			4000
		SNAFUSR3_Vikhr,                    W,		16000,			4500
		GCGN_M1Garand,                     W,		8000,			4000
		SNAFU_M1918A2,                     W,		8000,			4000
		SNAFUMarlin1895,                   W,		7000,			3500
		SNAFU_AK12A,                       W,		8500,			3000
		SNAFU_RPK16_Black,                 W,		9000,			3250
		SNAFU_RPK16_Green,                 W,		9000,			3250
		SNAFU_RPK16_Tan,                   W,		9000,			3250
		SNAFU_AEK545_Gun,                  W,		9000,			3250
		SNAFU_U100,                        W,		15000,			6500
		GCGN_M4A1,                         W,		17000,			6000
		SNAFU_CZ805_Gun,                   W,		15000,			4500
		GCGN_HK416,                        W,		18000,			6500
		ACR_Gun,                           W,		17000,			6000
		M4_6933_Gun,                       W,		17000,			6000
		IA2_Gun,                           W,		17000,			6000
		SG550_Gun,                         W,		15000,			4500
		MK18_Gun,                          W,		17000,			6000
		SCAR_Gun,                          W,		17000,			6000
		SNAFU_CALI_GUN,                    W,		6000,			4000
		SNAFU_AK19,                        W,		15000,			4500
		SNAFUTAR21_Black,                  W,		3000,			2000
		SNAFUTAR21_Tan,                    W,		3000,			2000
		SNAFUTAR21_Green,                  W,		3000,			2000
		SNAFUFAMAS,                        W,		18000,			6000
		SNAFUMk12,                         W,		17000,			6000
		SNAFUSA80,                         W,		17000,			6000
		HK416_Gun,                         W,		17000,			6000
		SNAFUAUG,                          W,		17000,			6000
		SNAFUAUG_BK,                       W,		17000,			6000
		SNAFU_ADAR_Modular16_GUN,          W,		15000,			4500
		SNAFU_AR15_Modular16_GUN,          W,		15000,			4500
		SNAFU_LVOA556_GUN,                 W,		17000,			6000
		SNAFU_M4556_Modular14_GUN,         W,		17000,			6000
		SNAFU_M4556_Modular16_GUN,         W,		17000,			6000
		SNAFU_Saint556_Gun,                W,		15000,			5000
		GCGN_M249,                         W,		22500,			7500


		
	<Category> SNAFU Weapons 	
		SNAFUPPSh,                         W,		4000,			1500
		SNAFU_SKS,                         W,		8500,			3000
		GCGN_VEPR,                         W,		6000,			2500
		SNAFUPPSKN,                        W,		9000,			3250
		SNAFU_AK103A,                      W,		9000,			3250
		SNAFURPD,                          W,		16000,			5500
		SNAFU_MK4710Gun,                   W,		16000,			5500
		SNAFU_MK4716Gun,                   W,		16000,			5500
		SNAFU_KAC_Gun,                     W,		18000,			6000
		SNAFUHoneyBadger_Black,            W,		18000,			6000
		SNAFUHoneyBadger_Tan,              W,		18000,			6000
		SNAFU_AR15SPRBK,                   W,		18000,			6000
		SNAFU_AR15SPRTAN,                  W,		18000,			6000
		SNAFU_M4300AC_10_GUN,              W,		18000,			6000
		SNAFU_M4300AC_14_GUN,              W,		18000,			6000
		SNAFU_M4300AC_16_GUN,              W,		18000,			6000
		SNAFU_M4300AC_14DV_GUN,            W,		18000,			6000
		SNAFU_M14,                         W,		10000,			3500
		SNAFU_M76,                         W,		10000,			3500
		SNAFU_FRF2,                        W,		10000,			3500
		SNAFU_M48,                         W,		8500,			2500
		GCGN_M110_Black,                   W,		25000,			8000
		GCGN_M110_Green,                   W,		25000,			8000
		GCGN_M110_Tan,                     W,		25000,			8000
		SNAFU_SR25_Gun,                    W,		25000,			8000
		SNAFU_Saint_Gun,                   W,		25000,			8000
		SNAFURSASS_Wood_GUN,               W,		25000,			8000
		SNAFURSASS_od_GUN,                 W,		25000,			8000
		SNAFURSASS_dkmc_GUN,               W,		25000,			8000
		GCGN_M700,                         W,		20000,			6500
		SNHK417_Gun,                       W,		25000,			8000
		SNSA58_Gun,                        W,		30000,			10000
		SNAFUM1A_Black,                    W,		25000,			8000
		SNAFUM1A_Green,                    W,		25000,			8000
		SNAFUM1A_Tan,                      W,		25000,			8000
		SNAFU_AK308,                       W,		25000,			8000
		SNAFU_Saint_Gun,                   W,		22000,			7250
		Snafu_ScarH_Black_GUN,             W,		30000,			10000
		Snafu_ScarH_DKMC_GUN,              W,		30000,			10000
		Snafu_ScarH_OD_GUN,                W,		30000,			10000
